Experiment,Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
1,Linear Regression,4.715437850587884e-13,168.7584722598833,1.0,0.37972228037376554,357885052474700.3
1,Ridge,28.234625470986852,173.86519575985818,0.9782274040095633,0.34161440682770905,6.157871509169386
1,Lasso,16.11226036261446,37.81407280476189,0.9929097900765327,0.9688568940413759,2.3469129689899066
1,Random Forest,64.26070897780805,180.79412569985914,0.8872186790568354,0.28809237890740425,2.8134474171813917
1,XGBoost,12.374813739200864,177.27459486769982,0.995727936267523,0.31554009228035007,14.325435404827983
1,LightGBM,87.72651452265183,160.7098455411147,0.7853049009228831,0.4374773957590963,1.83194153347581
2,Linear Regression,4.08356678444501e-13,198.36125156802484,1.0,-0.4957260694972101,485754885468302.1
2,Ridge,0.00011870831814147524,198.36116867931685,0.9999999999996294,-0.4957248194670303,1670996.3697987215
2,Lasso,20.4471903334826,69.34358075323121,0.9890061038095846,0.8172106403615917,3.3913500888031543
2,Random Forest,61.69715755712791,157.9465645199689,0.8999044742931761,0.05167161120742447,2.5600298421158176
2,XGBoost,48.832008244290435,154.71794288126605,0.9366270447917335,0.09004535053789198,3.1683714932890576
2,LightGBM,108.47145249291242,158.67010545226083,0.6873015702571725,0.0429632734397597,1.4627821588599859
3,Linear Regression,3.766801222721258e-13,117.1182357004531,1.0,0.5241317961564764,310922262088051.25
3,Ridge,0.00013267948873076405,117.11823481268063,0.9999999999995968,0.5241318033707704,882715.4515973404
3,Lasso,17.13978347526782,39.03569872097932,0.9932713967531733,0.9471358127701637,2.2774907732823246
3,Random Forest,58.63406128133908,126.94340488749395,0.9212565911903384,0.4409406307235342,2.1650112940052315
3,XGBoost,187.96489834359312,161.30810845942457,0.2381013822689434,0.09728628303218201,0.8581820854900212
3,LightGBM,102.52665305747608,121.1566364176028,0.7733178945342774,0.4907488009523404,1.1817086855423127
4,Linear Regression,3.5877444785921133e-13,158.87588556308904,1.0,0.3255147748897981,442829433676487.5
4,Ridge,72.41949878196263,166.99165655876342,0.8151452243286815,0.2548460327837284,2.3058935696522065
4,Lasso,21.94023869602139,42.873168238028285,0.9830331061913128,0.9508834754986444,1.9540885052359453
4,Random Forest,51.91180634173678,155.30827602730025,0.905015677906181,0.35546624033543106,2.9917717562147965
4,XGBoost,9.2993992541149,144.1627090553177,0.9971357778963378,0.4446556704789354,15.502367961191363
4,LightGBM,97.36378506766513,148.28155355283602,0.6860273617819299,0.4124690800620685,1.5229641436986499
5,Linear Regression,4.050770383778241e-13,173.89637836169277,1.0,0.0006276805427533061,429292114552037.06
5,Ridge,0.00011537524670308947,173.8963577078282,0.9999999999996808,0.0006279179358434916,1507224.1462273004
5,Lasso,22.771416657523872,37.92192030756107,0.9875646678398328,0.9524744792694174,1.6653298684880609
5,Random Forest,60.73876910720423,149.1659113649212,0.9115273035843838,0.26466470257767205,2.455859964854451
5,XGBoost,10.823264654004998,169.80642543285896,0.9969226287759958,0.047084302389354016,15.689020906462309
5,LightGBM,92.73489729388027,140.2996131507251,0.7740825783421466,0.3494821938158459,1.5129106436179092
6,Linear Regression,3.511846689342148e-13,120.35856964552043,1.0,0.5479914953501538,342721594341769.06
6,Ridge,0.00012456891939162864,120.35858305469652,0.9999999999996526,0.5479913946334041,966200.7476865448
6,Lasso,9.750140594461556,31.589547400299978,0.9978715742111787,0.9688628128050332,3.239906860239946
6,Random Forest,64.03803485439848,188.755209630149,0.9081851881841096,-0.11170731772625264,2.947548438350998
6,XGBoost,29.326573505418278,149.97459013824036,0.9807025151080065,0.29817644860422876,5.113948621052901
6,LightGBM,105.08105380591277,148.53653851162275,0.752242447639835,0.31157098154470364,1.4135425286652845
7,Linear Regression,3.3019058591450415e-13,203.2052223120728,1.0,0.05508228490800038,615417976709634.2
7,Ridge,20.375864048924196,200.5737481357547,0.9841246027538335,0.07939688158084779,9.843692893423313
7,Lasso,2.6464239415186155,54.779230476199565,0.9997321995105252,0.931331728536438,20.69934057684092
7,Random Forest,55.38542950837529,174.36893242788634,0.882703895596453,0.30423515978795623,3.1482816685843082
7,XGBoost,106.75050562305611,198.49888352733058,0.5046833724699524,0.09834499470785918,1.8594655113695173
7,LightGBM,142.9834755504441,204.73829993358578,0.1113827806228479,0.04077067643092169,1.4319018274342812
8,Linear Regression,5.865791795576947e-13,123.00035804819514,1.0,0.6668786437229284,209690971542737.94
