Model,Train Time (s),Accuracy,F1 Score,ROC AUC,Brier Score
Logistic Regression (L2),0.01454472541809082,0.78,0.5925925925925926,0.8038095238095238,0.15509413423027799
Logistic Regression (L1),0.03037738800048828,0.77,0.5818181818181818,0.8070238095238097,0.15541433974493823
Random Forest,0.31065869331359863,0.755,0.4948453608247423,0.7619642857142858,0.1717695
XGBoost,0.15576529502868652,0.72,0.4166666666666667,0.785952380952381,0.1698313020275178
LightGBM,0.17046380043029785,0.7,0.0,0.7747619047619048,0.2099291496876623
Logistic Regression (L2),0.012274026870727539,0.77,0.5660377358490566,0.7738095238095238,0.16891666750961534
Logistic Regression (L1),0.02328658103942871,0.775,0.5794392523364486,0.7751190476190477,0.16721388843043755
Random Forest,0.2968771457672119,0.765,0.5154639175257731,0.7927380952380952,0.16350549999999997
XGBoost,0.19390106201171875,0.755,0.5050505050505051,0.7780952380952381,0.16535275484767137
LightGBM,0.1447925567626953,0.7,0.0,0.7666071428571428,0.20993346324299736
Logistic Regression (L2),0.011931657791137695,0.71,0.4727272727272727,0.7307142857142856,0.19079801898349366
Logistic Regression (L1),0.018037796020507812,0.715,0.4672897196261682,0.7320238095238095,0.18882615346693504
Random Forest,0.3021543025970459,0.725,0.42105263157894735,0.7077380952380953,0.1873145
XGBoost,0.30963826179504395,0.7,0.3617021276595745,0.7369047619047618,0.18355656060140405
LightGBM,0.10775208473205566,0.7,0.0,0.688095238095238,0.20995595291677052
Logistic Regression (L2),0.016105175018310547,0.735,0.5225225225225225,0.7671428571428571,0.1731108276174822
Logistic Regression (L1),0.027312517166137695,0.725,0.4954128440366973,0.7648809523809523,0.17233723157629424
Random Forest,0.32262086868286133,0.735,0.4536082474226804,0.7446428571428572,0.17756349999999999
XGBoost,0.15326380729675293,0.725,0.3956043956043956,0.7614285714285715,0.17140218414180233
LightGBM,0.10705876350402832,0.7,0.0,0.7169642857142857,0.20994501793552622
Logistic Regression (L2),0.011497735977172852,0.81,0.6122448979591837,0.8216666666666667,0.14529807170662562
Logistic Regression (L1),0.026372194290161133,0.805,0.5979381443298969,0.8216666666666667,0.14613536542325734
Random Forest,0.32962751388549805,0.775,0.5054945054945055,0.7917857142857142,0.16006800000000002
XGBoost,0.24824237823486328,0.765,0.47191011235955055,0.7997619047619047,0.15861751247157155
LightGBM,0.12341165542602539,0.7,0.0,0.7582142857142857,0.20993824121970334
Logistic Regression (L2),0.01166677474975586,0.785,0.5981308411214953,0.8378571428571429,0.14677972398698727
Logistic Regression (L1),0.028645038604736328,0.77,0.5740740740740741,0.8358333333333333,0.1478531746570979
Random Forest,0.3351404666900635,0.775,0.5263157894736842,0.811845238095238,0.155746
XGBoost,0.25083470344543457,0.74,0.38095238095238093,0.8195238095238094,0.15974383960200153
LightGBM,0.11960577964782715,0.7,0.0,0.7370238095238095,0.209949760399694
Logistic Regression (L2),0.014655590057373047,0.795,0.6238532110091743,0.8284523809523809,0.15071612501273246
Logistic Regression (L1),0.02898383140563965,0.785,0.6055045871559633,0.8294047619047619,0.15147151990028077
Random Forest,0.33451008796691895,0.79,0.5531914893617021,0.8360714285714285,0.15213549999999998
XGBoost,0.4716837406158447,0.825,0.6666666666666666,0.8478571428571429,0.1425904646120681
LightGBM,0.09190583229064941,0.7,0.0,0.7846428571428571,0.2099386241993516
Logistic Regression (L2),0.011094808578491211,0.755,0.5585585585585585,0.7911904761904761,0.16380424788468878
Logistic Regression (L1),0.025031089782714844,0.75,0.5370370370370371,0.795,0.16169433705836006
Random Forest,0.3148505687713623,0.78,0.5,0.8063690476190476,0.1577935
XGBoost,0.741135835647583,0.765,0.4835164835164835,0.7959523809523809,0.161332675578849
LightGBM,0.10645055770874023,0.7,0.0,0.7619642857142858,0.20993997334707795
Logistic Regression (L2),0.014847755432128906,0.75,0.5535714285714286,0.7639285714285715,0.16827489834835865
Logistic Regression (L1),0.03560161590576172,0.76,0.5555555555555556,0.7644047619047619,0.16697562849837744
Random Forest,0.31976866722106934,0.76,0.5,0.7802380952380952,0.16627699999999998
XGBoost,1.2782893180847168,0.735,0.4854368932038835,0.7651190476190477,0.17043005463147026
LightGBM,0.10026001930236816,0.7,0.0,0.7736904761904763,0.2099315595810549
Logistic Regression (L2),0.01403951644897461,0.74,0.5094339622641509,0.7828571428571429,0.16966881465766462
Logistic Regression (L1),0.021033287048339844,0.75,0.5192307692307693,0.7769047619047619,0.17075743249821215
Random Forest,0.30675840377807617,0.735,0.4854368932038835,0.7677380952380952,0.171039
XGBoost,0.34874439239501953,0.725,0.47619047619047616,0.7538095238095238,0.18019122334018967
LightGBM,0.12788963317871094,0.7,0.0,0.7311309523809523,0.2099425754317156
Logistic Regression (L2),0.01261758804321289,0.74,0.5272727272727272,0.7327380952380953,0.18508137203413672
Logistic Regression (L1),0.03112936019897461,0.74,0.5272727272727272,0.7351190476190476,0.1825042955355198
Random Forest,0.2994105815887451,0.725,0.4329896907216495,0.7303571428571428,0.180092
XGBoost,0.594630241394043,0.71,0.40816326530612246,0.7129761904761904,0.1887435816472566
LightGBM,0.1348583698272705,0.7,0.0,0.7096428571428571,0.20995073174083054
Logistic Regression (L2),0.013734579086303711,0.75,0.5192307692307693,0.7608333333333334,0.177268848880755
Logistic Regression (L1),0.02502584457397461,0.745,0.5048543689320388,0.7601190476190476,0.17627960304783963
Random Forest,0.31757068634033203,0.755,0.449438202247191,0.7601190476190477,0.1703135
XGBoost,0.2659718990325928,0.75,0.4897959183673469,0.7453571428571427,0.17911450581091695
LightGBM,0.10444378852844238,0.7,0.0,0.7101190476190476,0.20995025131460252
Logistic Regression (L2),0.011887550354003906,0.74,0.49019607843137253,0.7778571428571428,0.16845692607362323
Logistic Regression (L1),0.029087066650390625,0.74,0.4583333333333333,0.7734523809523809,0.16898989519125382
Random Forest,0.32260632514953613,0.795,0.5494505494505495,0.7681547619047618,0.16644550000000002
XGBoost,0.5135059356689453,0.76,0.48936170212765956,0.7736904761904762,0.16738694338218274
LightGBM,0.09691333770751953,0.7,0.0,0.7058928571428571,0.20995286298103202
Logistic Regression (L2),0.01691722869873047,0.71,0.4727272727272727,0.7389285714285715,0.1860072119149827
Logistic Regression (L1),0.02721428871154785,0.715,0.47706422018348627,0.7404761904761904,0.18444993694233588
Random Forest,0.3211710453033447,0.74,0.43478260869565216,0.795,0.162932
XGBoost,0.6855692863464355,0.73,0.49056603773584906,0.7374999999999999,0.18054640535811312
LightGBM,0.11107945442199707,0.7,0.0,0.7179166666666666,0.2099493916467191
Logistic Regression (L2),0.011739492416381836,0.75,0.5283018867924528,0.7720238095238094,0.17100958969831212
Logistic Regression (L1),0.03477311134338379,0.755,0.5504587155963303,0.7713095238095238,0.1709247547030358
Random Forest,0.3000516891479492,0.73,0.325,0.7813095238095238,0.16632750000000002
XGBoost,0.24649643898010254,0.73,0.38636363636363635,0.7657142857142857,0.17500756239004936
LightGBM,0.14268183708190918,0.7,0.0,0.6948809523809525,0.20995487421150494
Logistic Regression (L2),0.012680530548095703,0.775,0.6086956521739131,0.8296428571428571,0.14960232579963098
Logistic Regression (L1),0.016663312911987305,0.78,0.6071428571428571,0.8269047619047619,0.15008515707409004
Random Forest,0.286299467086792,0.78,0.56,0.86125,0.147185
XGBoost,0.3152735233306885,0.8,0.5918367346938775,0.8659523809523809,0.14109248094254684
LightGBM,0.1526484489440918,0.7,0.0,0.7657738095238096,0.2099351867462477
Logistic Regression (L2),0.013126611709594727,0.77,0.54,0.7863095238095238,0.1656424369959363
Logistic Regression (L1),0.03018975257873535,0.775,0.5631067961165048,0.7916666666666667,0.16336030664922865
Random Forest,0.3116943836212158,0.76,0.4666666666666667,0.7951190476190476,0.16060549999999998
XGBoost,0.6988143920898438,0.75,0.5,0.7886904761904762,0.16449110190616506
LightGBM,0.10385322570800781,0.7,0.0,0.7427380952380953,0.20993811852357028
Logistic Regression (L2),0.013575315475463867,0.765,0.5607476635514018,0.7933333333333333,0.15972569717411098
Logistic Regression (L1),0.031063079833984375,0.745,0.5321100917431193,0.7952380952380952,0.16023313473394232
Random Forest,0.3097193241119385,0.76,0.4782608695652174,0.8027380952380951,0.15973949999999998
XGBoost,0.23070406913757324,0.72,0.42857142857142855,0.7877380952380952,0.16559143008918822
